ICD,Faelle,Tage,Tage_je_Fall,Jahr,Krankenhaus,Pflicht_alle,freiwillig,male
A00,365,2808,7.69,2014,1,1.0,0,0
A01,928,5503,5.93,2014,1,1.0,0,0
A02,1803,21760,12.07,2014,1,1.0,0,0
A03,330,2489,7.54,2014,1,1.0,0,0
A04,14805,99629,6.73,2014,1,1.0,0,0
A05,993,4788,4.82,2014,1,1.0,0,0
A06,955,6371,6.67,2014,1,1.0,0,0
A07,259,3381,13.05,2014,1,1.0,0,0
A08,152480,698355,4.58,2014,1,1.0,0,0
A09,766680,3455707,4.51,2014,1,1.0,0,0
A15,333,9352,28.08,2014,1,1.0,0,0
A16,528,22339,42.31,2014,1,1.0,0,0
A17,17,777,45.71,2014,1,1.0,0,0
A18,252,5349,21.23,2014,1,1.0,0,0
A19,39,609,15.62,2014,1,1.0,0,0
A20,25,382,15.28,2014,1,1.0,0,0
A21,28,466,16.64,2014,1,1.0,0,0
A22,45,273,6.07,2014,1,1.0,0,0
A23,80,1794,22.42,2014,1,1.0,0,0
A24,20,188,9.4,2014,1,1.0,0,0
A25,15,109,7.27,2014,1,1.0,0,0
A26,1040,11758,11.31,2014,1,1.0,0,0
A27,14,179,12.79,2014,1,1.0,0,0
A28,171,1965,11.49,2014,1,1.0,0,0
A30,17,105,6.18,2014,1,1.0,0,0
A31,180,2334,12.97,2014,1,1.0,0,0
A32,22,904,41.09,2014,1,1.0,0,0
A35,8,23,2.88,2014,1,1.0,0,0
A36,68,425,6.25,2014,1,1.0,0,0
A37,4104,50078,12.2,2014,1,1.0,0,0
A38,4012,24833,6.19,2014,1,1.0,0,0
A39,101,2472,24.48,2014,1,1.0,0,0
A40,89,2323,26.1,2014,1,1.0,0,0
A41,1173,28014,23.88,2014,1,1.0,0,0
A42,46,1064,23.13,2014,1,1.0,0,0
A43,20,173,8.65,2014,1,1.0,0,0
A44,5,34,6.8,2014,1,1.0,0,0
A46,15603,184627,11.83,2014,1,1.0,0,0
A48,343,3612,10.53,2014,1,1.0,0,0
A49,10395,76043,7.32,2014,1,1.0,0,0
A50,64,939,14.67,2014,1,1.0,0,0
